TOTAL DE PAÍSES,lat,lng,2583.0,2995.0,3480.0,4034.0,4643.0,5269.0,5891.0,6507.0,7107.0,7655.0,8091.0,8398.0,8551.0,8531.0,8348.0,8031.0,7617.0,7153.0,6690.0,6247.0,5835.0,5455.0,5101.0,4748.0,4388.0,4052.0,3741.0,3435.0,3144.0,2884.0,2643.0,2422.0,2229.0,2045.0,1860.0,1683.0,1521.0,1380.0,1252.0,1135.0,1035.0,954.0,876.0,801.0,743.0,693.0,644.0,599.0
TOTAL UNIÓN EUROPEA,,,727.0,905.0,1148.0,1379.0,1536.0,1678.0,1799.0,1934.0,1960.0,1871.0,1926.0,2049.0,2147.0,2202.0,2185.0,2141.0,2096.0,2013.0,1844.0,1689.0,1618.0,1596.0,1527.0,1435.0,1381.0,1265.0,1148.0,1131.0,1024.0,938.0,903.0,761.0,682.0,675.0,643.0,598.0,532.0,515.0,478.0,432.0,452.0,424.0,361.0,336.0,315.0,302.0,300.0,288.0
Alemania,51.165691,10.451526,66.0,61.0,66.0,78.0,78.0,83.0,97.0,112.0,126.0,128.0,133.0,164.0,164.0,146.0,169.0,175.0,157.0,182.0,173.0,145.0,158.0,148.0,130.0,127.0,120.0,122.0,133.0,109.0,89.0,84.0,91.0,79.0,71.0,78.0,67.0,58.0,38.0,34.0,44.0,54.0,73.0,72.0,57.0,59.0,46.0,53.0,73.0,76.0
Austria,47.516231,14.550072,3.0,2.0,5.0,8.0,11.0,10.0,8.0,16.0,24.0,24.0,24.0,29.0,40.0,38.0,26.0,24.0,37.0,42.0,27.0,15.0,15.0,20.0,19.0,13.0,10.0,11.0,10.0,13.0,15.0,12.0,8.0,4.0,5.0,10.0,19.0,16.0,5.0,10.0,8.0,0.0,3.0,3.0,1.0,7.0,7.0,1.0,0.0,1.0
Bélgica,50.503887,4.469936,45.0,47.0,46.0,55.0,57.0,59.0,65.0,75.0,79.0,77.0,83.0,95.0,100.0,96.0,92.0,90.0,92.0,80.0,73.0,65.0,57.0,65.0,62.0,57.0,66.0,81.0,85.0,78.0,65.0,54.0,48.0,42.0,39.0,32.0,20.0,18.0,19.0,17.0,22.0,26.0,20.0,16.0,17.0,16.0,13.0,17.0,18.0,14.0
Bulgaria,42.733883,25.48583,32.0,28.0,47.0,74.0,93.0,97.0,80.0,76.0,99.0,107.0,96.0,85.0,102.0,120.0,123.0,126.0,106.0,90.0,96.0,92.0,77.0,82.0,96.0,78.0,58.0,57.0,56.0,68.0,74.0,76.0,78.0,55.0,39.0,40.0,37.0,41.0,49.0,37.0,31.0,36.0,42.0,36.0,16.0,9.0,6.0,4.0,5.0,7.0
Chipre,35.126413,33.429859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinamarca,56.26392,9.501785,7.0,9.0,8.0,11.0,10.0,8.0,10.0,6.0,8.0,9.0,9.0,12.0,10.0,10.0,13.0,14.0,10.0,4.0,7.0,9.0,5.0,5.0,6.0,9.0,6.0,2.0,3.0,7.0,5.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0
Eslovenia,46.151241,14.995463,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,58.595272,25.013607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
