Resultados nacionales
    Flujos migratorios estimados. Migraciones exteriores. Serie 2010-2011

Flujo de emigración con destino al extranjero por; sexo; edad y nacionalidad.
Unidades:Movimientos migratorios


,España,
2011,"",
   18 años,"",
      Ambos sexos,"653.0",
   19 años,"",
      Ambos sexos,"747.0",
   20 años,"",
      Ambos sexos,"797.0",
   21 años,"",
      Ambos sexos,"768.0",
   22 años,"",
      Ambos sexos,"665.0",
   23 años,"",
      Ambos sexos,"625.0",
   24 años,"",
      Ambos sexos,"691.0",
   25 años,"",
      Ambos sexos,"784.0",
   26 años,"",
      Ambos sexos,"886.0",
   27 años,"",
      Ambos sexos,"980.0",
   28 años,"",
      Ambos sexos,"1034.0",
   29 años,"",
      Ambos sexos,"1077.0",
   30 años,"",
      Ambos sexos,"1224.0",
   31 años,"",
      Ambos sexos,"1421.0",
   32 años,"",
      Ambos sexos,"1574.0",
   33 años,"",
      Ambos sexos,"1686.0",
   34 años,"",
      Ambos sexos,"1729.0",
   35 años,"",
      Ambos sexos,"1708.0",
   36 años,"",
      Ambos sexos,"1674.0",
   37 años,"",
      Ambos sexos,"1625.0",
   38 años,"",
      Ambos sexos,"1517.0",
   39 años,"",
      Ambos sexos,"1400.0",
   40 años,"",
      Ambos sexos,"1248.0",
   41 años,"",
      Ambos sexos,"1115.0",
   42 años,"",
      Ambos sexos,"1058.0",
   43 años,"",
      Ambos sexos,"1092.0",
   44 años,"",
      Ambos sexos,"1165.0",
   45 años,"",
      Ambos sexos,"1115.0",
   46 años,"",
      Ambos sexos,"958.0",
   47 años,"",
      Ambos sexos,"817.0",
   48 años,"",
      Ambos sexos,"754.0",
   49 años,"",
      Ambos sexos,"740.0",
   50 años,"",
      Ambos sexos,"656.0",
   51 años,"",
      Ambos sexos,"599.0",
   52 años,"",
      Ambos sexos,"601.0",
   53 años,"",
      Ambos sexos,"558.0",
   54 años,"",
      Ambos sexos,"505.0",
   55 años,"",
      Ambos sexos,"463.0",
   56 años,"",
      Ambos sexos,"447.0",
   57 años,"",
      Ambos sexos,"430.0",
   58 años,"",
      Ambos sexos,"404.0",
   59 años,"",
      Ambos sexos,"401.0",
   60 años,"",
      Ambos sexos,"406.0",
   61 años,"",
      Ambos sexos,"399.0",
   62 años,"",
      Ambos sexos,"385.0",
   63 años,"",
      Ambos sexos,"379.0",
   64 años,"",
      Ambos sexos,"406.0",
   65 años,"",
      Ambos sexos,"424.0",

Notas:
  1.- 


Fuente:Instituto Nacional de Estadística


Paseo de la Castellana; 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:www.ine.es/infoine
