   Andalucía,87.0,107.0,131.0,141.0,139.0,138.0,147.0,155.0,162.0,169.0,170.0,174.0,192.0,217.0,229.0,238.0,240.0,233.0,224.0,214.0,205.0,194.0,179.0,168.0,161.0,158.0,160.0,152.0,133.0,114.0,107.0,99.0,87.0,81.0,78.0,70.0,64.0,59.0,55.0,51.0,46.0,46.0,48.0,47.0,42.0,42.0,50.0,51.0
   Aragón,16.0,16.0,16.0,16.0,17.0,20.0,25.0,30.0,33.0,37.0,41.0,42.0,47.0,51.0,53.0,54.0,54.0,53.0,52.0,51.0,49.0,47.0,42.0,37.0,33.0,32.0,31.0,29.0,26.0,23.0,21.0,22.0,20.0,18.0,17.0,15.0,12.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0
   Asturias,9.0,11.0,14.0,15.0,17.0,20.0,25.0,29.0,34.0,40.0,44.0,46.0,49.0,53.0,55.0,56.0,55.0,51.0,48.0,45.0,40.0,35.0,30.0,27.0,24.0,21.0,22.0,21.0,19.0,18.0,17.0,16.0,15.0,15.0,14.0,12.0,12.0,11.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
   Illes Balears,19.0,23.0,24.0,24.0,22.0,17.0,16.0,17.0,18.0,18.0,16.0,16.0,21.0,27.0,31.0,36.0,37.0,37.0,37.0,38.0,37.0,31.0,27.0,21.0,20.0,22.0,24.0,25.0,20.0,18.0,16.0,16.0,13.0,11.0,12.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,7.0,8.0,9.0
   Canarias,48.0,49.0,52.0,55.0,57.0,60.0,61.0,62.0,65.0,72.0,79.0,87.0,95.0,100.0,103.0,103.0,100.0,96.0,94.0,92.0,91.0,89.0,86.0,81.0,78.0,75.0,72.0,69.0,65.0,62.0,60.0,58.0,53.0,48.0,45.0,42.0,39.0,38.0,39.0,39.0,40.0,42.0,46.0,47.0,47.0,47.0,50.0,51.0
   Cantabria,4.0,4.0,4.0,6.0,6.0,5.0,7.0,10.0,12.0,13.0,14.0,14.0,15.0,18.0,19.0,19.0,19.0,18.0,18.0,19.0,17.0,16.0,14.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
   Castilla y León,19.0,24.0,29.0,33.0,36.0,41.0,49.0,59.0,67.0,74.0,80.0,82.0,86.0,90.0,94.0,99.0,101.0,99.0,96.0,93.0,88.0,85.0,77.0,69.0,64.0,59.0,55.0,52.0,47.0,41.0,39.0,36.0,33.0,30.0,29.0,28.0,26.0,27.0,27.0,26.0,26.0,23.0,22.0,21.0,20.0,19.0,20.0,20.0
   Castilla la Mancha,21.0,24.0,24.0,18.0,10.0,7.0,8.0,10.0,13.0,14.0,13.0,13.0,16.0,16.0,18.0,21.0,22.0,23.0,26.0,27.0,25.0,23.0,21.0,19.0,19.0,25.0,28.0,26.0,21.0,18.0,16.0,14.0,11.0,11.0,14.0,12.0,9.0,8.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
   Cataluña,95.0,117.0,110.0,84.0,38.0,8.0,2.0,0.0,0.0,2.0,10.0,26.0,50.0,86.0,129.0,156.0,173.0,185.0,193.0,198.0,176.0,145.0,104.0,68.0,75.0,111.0,143.0,136.0,100.0,69.0,63.0,67.0,50.0,45.0,55.0,53.0,48.0,38.0,36.0,38.0,33.0,29.0,29.0,31.0,34.0,32.0,39.0,43.0
   Com. Valenciana,53.0,64.0,73.0,71.0,57.0,48.0,56.0,66.0,71.0,72.0,67.0,65.0,71.0,91.0,111.0,122.0,129.0,131.0,125.0,121.0,117.0,110.0,97.0,87.0,86.0,93.0,101.0,96.0,80.0,65.0,58.0,58.0,55.0,50.0,47.0,44.0,38.0,33.0,33.0,30.0,28.0,29.0,30.0,26.0,19.0,15.0,21.0,26.0
   Extremadura,6.0,7.0,8.0,8.0,9.0,10.0,11.0,13.0,15.0,16.0,17.0,17.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,16.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
   Galicia,55.0,60.0,65.0,69.0,74.0,81.0,93.0,106.0,119.0,132.0,145.0,155.0,164.0,172.0,174.0,170.0,165.0,157.0,148.0,143.0,138.0,135.0,135.0,134.0,131.0,126.0,119.0,112.0,102.0,97.0,95.0,95.0,93.0,92.0,95.0,94.0,91.0,90.0,88.0,86.0,81.0,79.0,77.0,76.0,78.0,82.0,85.0,86.0
