TOTAL DE PAÍSES,lat,lng,2468.0,2803.0,3211.0,3676.0,4203.0,4765.0,5300.0,5783.0,6214.0,6574.0,6825.0,6947.0,6949.0,6827.0,6594.0,6281.0,5916.0,5525.0,5133.0,4769.0,4442.0,4154.0,3896.0,3664.0,3444.0,3228.0,3032.0,2851.0,2665.0,2485.0,2322.0,2168.0,2030.0,1920.0,1820.0,1719.0,1620.0,1524.0,1435.0,1350.0,1268.0,1198.0,1145.0,1087.0,1022.0,965.0,905.0,833.0
TOTAL UNIÓN EUROPEA,,,866.0,961.0,1220.0,1445.0,1650.0,1870.0,1992.0,2143.0,2141.0,2127.0,2122.0,2154.0,2231.0,2199.0,2159.0,2082.0,1914.0,1845.0,1779.0,1608.0,1533.0,1430.0,1325.0,1291.0,1172.0,1177.0,1109.0,930.0,928.0,906.0,846.0,816.0,795.0,760.0,694.0,659.0,659.0,603.0,581.0,560.0,504.0,498.0,444.0,382.0,386.0,406.0,408.0,330.0
Alemania,51.165691,10.451526,88.0,75.0,84.0,94.0,122.0,155.0,186.0,198.0,177.0,200.0,242.0,237.0,226.0,253.0,263.0,251.0,230.0,226.0,202.0,178.0,177.0,152.0,150.0,138.0,114.0,133.0,130.0,108.0,121.0,110.0,99.0,108.0,82.0,67.0,73.0,75.0,67.0,51.0,58.0,62.0,48.0,49.0,40.0,37.0,51.0,51.0,49.0,46.0
Austria,47.516231,14.550072,3.0,8.0,14.0,14.0,10.0,11.0,16.0,16.0,16.0,19.0,24.0,19.0,12.0,13.0,11.0,12.0,20.0,20.0,17.0,11.0,15.0,17.0,13.0,24.0,17.0,3.0,6.0,7.0,5.0,8.0,9.0,6.0,6.0,7.0,7.0,4.0,3.0,2.0,2.0,1.0,2.0,13.0,12.0,1.0,1.0,1.0,2.0,1.0
Bélgica,50.503887,4.469936,40.0,55.0,69.0,66.0,62.0,81.0,87.0,81.0,99.0,100.0,90.0,105.0,98.0,79.0,83.0,88.0,96.0,89.0,84.0,85.0,78.0,70.0,81.0,71.0,50.0,57.0,55.0,49.0,43.0,35.0,29.0,31.0,32.0,28.0,25.0,18.0,20.0,24.0,24.0,34.0,30.0,14.0,14.0,14.0,15.0,18.0,16.0,17.0
Bulgaria,42.733883,25.48583,40.0,28.0,76.0,108.0,94.0,92.0,90.0,105.0,119.0,123.0,122.0,93.0,71.0,80.0,93.0,78.0,82.0,93.0,96.0,81.0,59.0,64.0,73.0,75.0,55.0,55.0,47.0,25.0,47.0,81.0,60.0,38.0,49.0,66.0,57.0,46.0,81.0,65.0,61.0,83.0,61.0,55.0,51.0,56.0,44.0,29.0,31.0,14.0
Chipre,35.126413,33.429859,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinamarca,56.26392,9.501785,4.0,10.0,10.0,5.0,13.0,16.0,9.0,8.0,7.0,9.0,13.0,23.0,28.0,19.0,9.0,14.0,16.0,9.0,10.0,10.0,8.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,9.0,2.0,3.0,1.0
Eslovenia,46.151241,14.995463,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,58.595272,25.013607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finlandia,61.92410999999999,25.748151,2.0,4.0,8.0,14.0,21.0,16.0,8.0,10.0,10.0,10.0,13.0,8.0,9.0,11.0,9.0,7.0,7.0,9.0,8.0,7.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0,8.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0
Francia,46.227638,2.213749,81.0,112.0,153.0,153.0,159.0,205.0,230.0,255.0,261.0,258.0,271.0,299.0,302.0,300.0,292.0,265.0,272.0,273.0,234.0,204.0,196.0,171.0,146.0,136.0,155.0,172.0,129.0,114.0,132.0,91.0,75.0,80.0,63.0,64.0,58.0,60.0,61.0,48.0,48.0,39.0,40.0,47.0,51.0,43.0,47.0,54.0,54.0,52.0
Grecia,39.074208,21.824312,1.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,1.0,2.0,6.0,5.0,2.0,6.0,7.0,11.0,9.0,2.0,6.0,6.0,3.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Hungría,47.162494,19.503304,2.0,1.0,2.0,13.0,12.0,1.0,10.0,26.0,24.0,9.0,7.0,12.0,10.0,9.0,5.0,2.0,3.0,9.0,15.0,9.0,6.0,5.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,5.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irlanda,53.41291,-8.24389,4.0,12.0,16.0,16.0,20.0,20.0,28.0,36.0,29.0,32.0,36.0,30.0,27.0,30.0,27.0,28.0,29.0,34.0,32.0,19.0,17.0,17.0,19.0,16.0,12.0,9.0,9.0,7.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,7.0,6.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0
