Resultados nacionales
    Flujos migratorios estimados. Migraciones exteriores. Serie 2010-2011

Flujo de emigración con destino al extranjero por; sexo; edad y nacionalidad.
Unidades:Movimientos migratorios


,España,
2010,"",
   18 años,"",
      Ambos sexos,"612.0",
   19 años,"",
      Ambos sexos,"690.0",
   20 años,"",
      Ambos sexos,"691.0",
   21 años,"",
      Ambos sexos,"583.0",
   22 años,"",
      Ambos sexos,"493.0",
   23 años,"",
      Ambos sexos,"496.0",
   24 años,"",
      Ambos sexos,"496.0",
   25 años,"",
      Ambos sexos,"493.0",
   26 años,"",
      Ambos sexos,"489.0",
   27 años,"",
      Ambos sexos,"443.0",
   28 años,"",
      Ambos sexos,"412.0",
   29 años,"",
      Ambos sexos,"507.0",
   30 años,"",
      Ambos sexos,"672.0",
   31 años,"",
      Ambos sexos,"825.0",
   32 años,"",
      Ambos sexos,"959.0",
   33 años,"",
      Ambos sexos,"1044.0",
   34 años,"",
      Ambos sexos,"1054.0",
   35 años,"",
      Ambos sexos,"1027.0",
   36 años,"",
      Ambos sexos,"980.0",
   37 años,"",
      Ambos sexos,"878.0",
   38 años,"",
      Ambos sexos,"771.0",
   39 años,"",
      Ambos sexos,"645.0",
   40 años,"",
      Ambos sexos,"542.0",
   41 años,"",
      Ambos sexos,"517.0",
   42 años,"",
      Ambos sexos,"588.0",
   43 años,"",
      Ambos sexos,"691.0",
   44 años,"",
      Ambos sexos,"675.0",
   45 años,"",
      Ambos sexos,"565.0",
   46 años,"",
      Ambos sexos,"468.0",
   47 años,"",
      Ambos sexos,"434.0",
   48 años,"",
      Ambos sexos,"442.0",
   49 años,"",
      Ambos sexos,"386.0",
   50 años,"",
      Ambos sexos,"350.0",
   51 años,"",
      Ambos sexos,"365.0",
   52 años,"",
      Ambos sexos,"339.0",
   53 años,"",
      Ambos sexos,"303.0",
   54 años,"",
      Ambos sexos,"275.0",
   55 años,"",
      Ambos sexos,"271.0",
   56 años,"",
      Ambos sexos,"267.0",
   57 años,"",
      Ambos sexos,"253.0",
   58 años,"",
      Ambos sexos,"255.0",
   59 años,"",
      Ambos sexos,"261.0",
   60 años,"",
      Ambos sexos,"254.0",
   61 años,"",
      Ambos sexos,"241.0",
   62 años,"",
      Ambos sexos,"232.0",
   63 años,"",
      Ambos sexos,"260.0",
   64 años,"",
      Ambos sexos,"284.0",
   65 años,"",
      Ambos sexos,"260.0",

Notas:
  1.- 


Fuente:Instituto Nacional de Estadística


Paseo de la Castellana; 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:www.ine.es/infoine
